2025-04-23 19:44:38.066 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-16租借线程归还cd：CD4
2025-04-23 19:44:38.066 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-16租借线程睡眠时间13
2025-04-23 19:44:38.072 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-19租借线程归还cd：CD8
2025-04-23 19:44:38.072 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-17租借线程租到了cd：CD8持有214ms
2025-04-23 19:44:38.072 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-19租借线程睡眠时间60
2025-04-23 19:44:38.080 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025CD8已借出Thread-16租借线程等待中
2025-04-23 19:44:38.110 INFO  [Thread-20租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-20租借线程归还cd：CD2
2025-04-23 19:44:38.110 INFO  [Thread-20租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-20租借线程睡眠时间29
2025-04-23 19:44:38.114 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD4销售了4剩余6
2025-04-23 19:44:38.114 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程睡眠时间63
2025-04-23 19:44:38.135 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-19租借线程租到了cd：CD5持有276ms
2025-04-23 19:44:38.140 INFO  [Thread-20租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-20租借线程租到了cd：CD6持有214ms
2025-04-23 19:44:38.152 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD6销售了2剩余8
2025-04-23 19:44:38.152 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程睡眠时间75
2025-04-23 19:44:38.167 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD5销售了1剩余4
2025-04-23 19:44:38.167 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程睡眠时间2
2025-04-23 19:44:38.169 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程CD1销售了0剩余8
2025-04-23 19:44:38.169 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-12销售线程睡眠时间140
2025-04-23 19:44:38.179 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-18租借线程归还cd：CD9
2025-04-23 19:44:38.179 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程CD7销售了3剩余3
2025-04-23 19:44:38.179 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:38 CST 2025Thread-18租借线程睡眠时间199
2025-04-23 19:44:38.179 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-15销售线程睡眠时间54
2025-04-23 19:44:38.186 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程CD5销售了3剩余1
2025-04-23 19:44:38.186 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-11销售线程睡眠时间89
2025-04-23 19:44:38.189 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD3数量不足
2025-04-23 19:44:38.189 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程CD3数量不足，不销售
2025-04-23 19:44:38.189 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-13销售线程睡眠时间176
2025-04-23 19:44:38.229 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程CD0销售了4剩余6
2025-04-23 19:44:38.229 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:38 CST 2025Thread-14销售线程睡眠时间195
