2025-04-22 21:36:29.111 INFO  [Thread-0] o.example.cdshop.CDshopControlThread - 售卖和租借线程各有：6个
2025-04-22 21:36:29.137 INFO  [Thread-21租借线程] org.example.cdshop.RentThread - Tue Apr 22 21:36:29 CST 2025Thread-21租借线程租到了cd：CD2持有234ms
2025-04-22 21:36:29.137 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-12销售线程CD9销售了0剩余10
2025-04-22 21:36:29.137 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-11销售线程CD2销售了0剩余10
2025-04-22 21:36:29.137 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-15销售线程CD6销售了4剩余6
2025-04-22 21:36:29.138 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-13销售线程CD2销售了2剩余8
2025-04-22 21:36:29.138 INFO  [Thread-16销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-16销售线程CD9销售了0剩余10
2025-04-22 21:36:29.137 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Tue Apr 22 21:36:29 CST 2025Thread-18租借线程租到了cd：CD9持有234ms
2025-04-22 21:36:29.137 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Tue Apr 22 21:36:29 CST 2025Thread-17租借线程租到了cd：CD8持有273ms
2025-04-22 21:36:29.137 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-14销售线程CD0销售了3剩余7
2025-04-22 21:36:29.137 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Tue Apr 22 21:36:29 CST 2025Thread-19租借线程租到了cd：CD4持有293ms
2025-04-22 21:36:29.147 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-13销售线程睡眠时间163
2025-04-22 21:36:29.147 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-15销售线程睡眠时间14
2025-04-22 21:36:29.147 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-14销售线程睡眠时间146
2025-04-22 21:36:29.147 INFO  [Thread-16销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-16销售线程睡眠时间143
2025-04-22 21:36:29.147 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-11销售线程睡眠时间45
2025-04-22 21:36:29.147 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-12销售线程睡眠时间9
2025-04-22 21:36:29.158 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-12销售线程CD9销售了3剩余7
2025-04-22 21:36:29.158 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-12销售线程睡眠时间125
2025-04-22 21:36:29.162 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-15销售线程CD4销售了0剩余10
2025-04-22 21:36:29.162 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Tue Apr 22 21:36:29 CST 2025Thread-15销售线程睡眠时间16
2025-04-22 21:36:29.180 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Tue Apr 22 21:36:29 CST 2025Thread-15销售线程CD7销售了2剩余8
